cds	logFC	adj.P.Val	focus	cluster	annot_id	desc	annot_method
TRINITY_DN10671_c0_g1_i6.p1	6.77576140801541	0.000359701278606835	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN10814_c0_g1_i11.p1	3.02982573335125	0.0174619826332515	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN11286_c0_g1_i10.p1	2.85878503732669	0.0474661647200006	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN11355_c0_g1_i2.p1	5.9570017951229	0.0438540705430827	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN11355_c0_g1_i5.p1	6.25594863886084	0.00351030868789541	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN11491_c1_g1_i1.p1	2.93551124655729	0.0227433787297528	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN11821_c0_g1_i5.p1	2.04917961056121	0.00432540721478201	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN12353_c0_g2_i3.p1	2.79245802304296	0.0459326587189512	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN13134_c0_g1_i1.p1	3.84548422091118	0.00227218784587593	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN13988_c0_g1_i11.p1	2.98251990903212	0.000626841703905106	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN1531_c0_g1_i22.p1	6.11433426229173	0.000147549848397513	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN17199_c0_g1_i1.p1	2.24129493176133	0.00665761755896264	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN18363_c0_g1_i1.p1	2.10440711471174	0.0360627396376998	MJT1vsTWT1	1	Ethylene-responsive transcription factor	DNA-BINDING DOMAIN	InterProScan
TRINITY_DN18600_c0_g1_i13.p1	3.05298637049916	0.0330081528599612	MJT1vsTWT1	1	WRKY transcription factor, plant	WRKY TRANSCRIPTION FACTOR 36-RELATED	InterProScan
TRINITY_DN1909_c0_g2_i1.p1	4.44484943044128	0.030170100943225	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN19245_c0_g1_i2.p1	4.07795663115828	0.00168482628221266	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN19470_c0_g1_i1.p1	4.16371339130559	0.00727661057658901	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN2072_c0_g1_i2.p1	4.10359175930471	0.00503890024497224	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN2072_c0_g1_i9.p1	2.12233904627807	0.00477872125103564	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN20764_c0_g2_i1.p1	2.66948495211543	0.0307189544887198	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN2212_c0_g1_i1.p1	5.47889285356845	0.0487752533154018	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN24690_c0_g2_i1.p1	3.27254469658537	0.0420194667986999	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN27545_c0_g4_i1.p1	3.84867514193932	0.00759831745717636	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN2913_c0_g1_i10.p1	2.933683118876	0.00679800752186338	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN2913_c0_g1_i4.p1	2.34286242763089	0.0385378164102957	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN29289_c0_g1_i2.p1	4.09328159948269	0.029470059768082	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN3097_c1_g1_i1.p1	3.62571717790933	0.00571994430959362	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN32072_c0_g1_i1.p1	2.23290392159345	1.75240671686823e-05	MJT1vsTWT1	1	Transcription factor MYC/MYB N-terminal	bHLH-MYC and R2R3-MYB transcription factors N-terminal	InterProScan
TRINITY_DN32072_c0_g1_i1.p1	2.23290392159345	1.75240671686823e-05	MJT1vsTWT1	1	Transcription factor AIB/MYC-like	MYC	InterProScan
TRINITY_DN33269_c1_g1_i1.p1	2.26187678100122	0.0351581027146167	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN3326_c0_g1_i1.p1	4.99071063866083	0.00114116583705446	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN33820_c0_g3_i2.p1	5.07594627701104	0.00446638199254401	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN3476_c0_g2_i1.p1	2.07307354577895	0.00142247972273994	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN368_c0_g1_i5.p1	2.41398954153082	1.61551066087092e-06	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN3778_c0_g1_i1.p1	4.5666552085946	0.00399831273836974	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN4379_c0_g2_i1.p1	3.5560743365571	5.4800713301297e-07	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN4379_c0_g2_i12.p1	6.51607139065467	0.012156109925537	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN4379_c0_g2_i16.p1	4.01866267895349	0.0079860401635057	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN44131_c0_g1_i4.p1	2.39520605609893	0.0253756522011088	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN4611_c0_g1_i1.p1	3.25965331240791	0.0018142659149981	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN4649_c0_g2_i1.p1	3.25092966799655	0.0168285268842489	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN4913_c0_g4_i1.p1	2.7951971996453	0.0277881591001045	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN5138_c0_g1_i1.p1	2.19785553741302	0.0175212269449694	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN5598_c0_g1_i16.p1	4.8523068678521	0.0302142480175747	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN5603_c0_g1_i1.p2	3.21057683048221	0.00294464773877445	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN5603_c0_g1_i1.p1	2.47443107820929	0.031648303740921	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN6314_c0_g2_i1.p2	6.31962472266877	0.0307522155918256	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN6864_c0_g1_i1.p1	3.28362972543493	0.0201523092441421	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN72534_c0_g1_i1.p1	3.74058133799172	0.0109270025237992	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN7733_c0_g1_i4.p1	6.20896791972343	0.000244256714758252	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN8107_c0_g2_i1.p1	3.95904573435937	0.000831369541997969	MJT1vsTWT1	1	NA	NA	NA
TRINITY_DN8646_c0_g1_i1.p1	5.37925464719497	0.0274727394179803	MJT1vsTWT1	1	NA	NA	NA
